,weeks,state,mask_intensity
0,2019-01-10 00:00:00,VA,0.0
1,No data,No data,No data
2,2019-01-21 00:00:00,PA,0.0
3,2019-01-28 00:00:00,FL,0.0
4,2019-01-28 00:00:00,VT,0.0
5,2019-02-08 00:00:00,GA,0.0
6,2019-02-14 00:00:00,IL,0.0
7,2019-02-14 00:00:00,VA,0.0
8,No data,No data,No data
9,2019-03-01 00:00:00,VA,0.0
10,2019-03-05 00:00:00,IL,0.0
11,No data,No data,No data
12,No data,No data,No data
13,No data,No data,No data
14,No data,No data,No data
15,No data,No data,No data
16,No data,No data,No data
17,2019-04-26 00:00:00,IL,0.0
18,2019-04-30 00:00:00,VA,0.0
19,2019-05-08 00:00:00,GA,0.0
20,2019-05-08 00:00:00,VA,0.0
21,No data,No data,No data
22,No data,No data,No data
23,No data,No data,No data
24,No data,No data,No data
25,No data,No data,No data
26,No data,No data,No data
27,No data,No data,No data
28,2019-07-05 00:00:00,DC,0.0
29,No data,No data,No data
30,No data,No data,No data
31,No data,No data,No data
32,No data,No data,No data
33,No data,No data,No data
34,2019-08-13 00:00:00,DC,0.0
35,No data,No data,No data
36,No data,No data,No data
37,2019-09-05 00:00:00,VA,0.0
38,No data,No data,No data
39,No data,No data,No data
40,2019-09-23 00:00:00,VA,0.0
41,2019-10-06 00:00:00,IL,0.0
42,2019-10-06 00:00:00,VA,0.0
43,2019-10-07 00:00:00,VA,0.0
44,No data,No data,No data
45,2019-10-22 00:00:00,IL,0.0
46,2019-10-22 00:00:00,VA,0.0
47,2019-10-30 00:00:00,VA,0.0
48,No data,No data,No data
49,2019-11-17 00:00:00,GA,0.0
50,2019-11-20 00:00:00,GA,0.0
51,2019-11-20 00:00:00,IL,0.0
52,2019-11-20 00:00:00,VA,0.0
53,No data,No data,No data
54,2019-12-04 00:00:00,IL,0.0
55,2019-12-04 00:00:00,VA,0.0
56,No data,No data,No data
57,2019-12-16 00:00:00,VA,0.0
58,2019-12-23 00:00:00,IL,0.0
59,2020-01-01 00:00:00,DC,0.0
60,2020-01-01 00:00:00,FL,0.0
61,2020-01-01 00:00:00,KY,0.0
62,2020-01-01 00:00:00,TX,0.0
63,2020-01-12 00:00:00,VA,0.0
64,2020-01-14 00:00:00,GA,0.0
65,2020-01-14 00:00:00,VA,0.0
66,2020-01-20 00:00:00,FL,0.0
67,2020-01-20 00:00:00,GA,0.0
68,2020-01-20 00:00:00,IL,0.0
69,2020-01-20 00:00:00,NY,0.0
70,2020-01-27 00:00:00,GA,0.0
71,2020-01-27 00:00:00,VA,0.0
72,2020-02-03 00:00:00,DC,0.0
73,2020-02-03 00:00:00,GA,0.0
74,2020-02-03 00:00:00,IL,0.0
75,2020-02-03 00:00:00,NY,0.0
76,2020-02-10 00:00:00,CA,0.0
77,2020-02-10 00:00:00,CO,0.0
78,2020-02-10 00:00:00,DC,0.0
79,2020-02-10 00:00:00,FL,0.0
80,2020-02-10 00:00:00,GA,0.0
81,2020-02-10 00:00:00,HI,0.0
82,2020-02-10 00:00:00,IA,0.0
83,2020-02-10 00:00:00,IL,0.0
84,2020-02-10 00:00:00,LA,0.2857142857142857
85,2020-02-10 00:00:00,MA,0.0
86,2020-02-10 00:00:00,MD,0.0
87,2020-02-10 00:00:00,MI,0.0
88,2020-02-10 00:00:00,MN,0.0
89,2020-02-10 00:00:00,MO,0.0
90,2020-02-10 00:00:00,MT,0.0
91,2020-02-10 00:00:00,ND,0.0
92,2020-02-10 00:00:00,NM,0.0
93,2020-02-10 00:00:00,NY,0.0
94,2020-02-10 00:00:00,OH,0.0
